City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
272,Tamisan,PH,83.34,Clouds,6.8437,126.2984,PUJADA ISLAND TOUR @Pier One
274,Flic En Flac,MU,71.53,Clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
278,Mount Isa,AU,71.37,Clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
281,Greeneville,US,81.48,Clear,36.1632,-82.831,General Morgan Inn and Conference Center
284,Tezu,IN,74.3,Clouds,27.9167,96.1667,Circuit House
285,Denpasar,ID,80.26,Clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
287,Basco,PH,81.19,Clouds,20.4487,121.9702,Nathaniel's Lodge
292,Shenjiamen,CN,71.71,Clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
294,Agbor,NG,72.34,Clouds,6.2518,6.1934,MIRAMAS HOTEL
295,Road Town,VG,84.29,Clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
298,Sao Jose Da Coroa Grande,BR,74.98,Clouds,-8.8978,-35.1478,Crôa Mares Hotel
305,Bethel,US,73.76,Clouds,41.3712,-73.414,Courtyard by Marriott Danbury
308,Koani,TZ,70.7,Clouds,-6.1333,39.2833,Northcliff BnB
309,Nilagiri,IN,77.04,Clouds,21.4582,86.7722,Guru Shakti
310,Cap Malheureux,MU,71.47,Clear,-19.9842,57.6142,Pereybere Hotel & Spa
312,Meulaboh,ID,75.65,Rain,4.1363,96.1285,Kost Pria
313,Colares,PT,74.39,Clouds,38.7992,-9.4469,Arribas Sintra Hotel
316,Port Blair,IN,77.04,Mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
317,Sur,OM,83.08,Clear,22.5667,59.5289,Sur Plaza Hotel
321,San Ignacio,BZ,77.14,Clouds,17.1561,-89.0714,Rainforest Haven Inn
322,Pemberton,CA,74.89,Clear,50.3164,-122.8027,Pemberton Valley Lodge
329,Zhob,PK,72.9,Clear,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
332,Namatanai,PG,80.65,Rain,-3.6667,152.4333,Seagulls Inn Namatani
333,Robertsport,LR,76.69,Rain,6.7533,-11.3686,Kwepunha Retreat
337,Ilorin,NG,70.95,Clouds,8.5,4.55,SITY INN
338,Palaikastron,GR,71.73,Clouds,35.2,26.25,Marina Village
342,Les Cayes,HT,79.88,Clouds,18.2,-73.75,Villa Orphee
343,Aloleng,PH,80.22,Clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
345,Morondava,MG,72.39,Clear,-20.2833,44.2833,La Case Bambou
348,Svay Rieng,KH,78.4,Clouds,11.0879,105.7993,Apsara guesthouse
351,Alofi,NU,80.49,Clouds,-19.0595,-169.9187,Taloa Heights
364,Vung Tau,VN,78.55,Clouds,10.346,107.0843,Seaside Resort
367,Bandarbeyla,SO,78.85,Clouds,9.4942,50.8122,JABIR HOTEL
371,Vaitape,PF,78.08,Rain,-16.5167,-151.75,Conrad Bora Bora Nui
373,Hambantota,LK,78.69,Clear,6.1241,81.1185,Bungalow 63
375,Tchibanga,GA,72.61,Clouds,-2.85,11.0333,
376,Honiara,SB,74.89,Clouds,-9.4333,159.95,Heritage Park Hotel
377,Puerto Escondido,MX,81.43,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
378,Bengkulu,ID,75.88,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
379,Mahibadhoo,MV,80.8,Clouds,3.7833,72.9667,Omadhoo Inn
380,Manta,EC,71.38,Clouds,-0.95,-80.7333,Balandra Hotel
382,Humaita,BR,82.99,Clouds,-7.5061,-63.0208,Corrêa Hotel
391,Ambulu,ID,77.65,Clouds,-8.345,113.6058,Hotel Ambulu Jember
393,Progreso,MX,84.31,Clear,21.2833,-89.6667,Playa Linda Hotel
398,Sainte-Suzanne,RE,70.02,Mist,-20.9061,55.6089,Gites Ango
399,Waingapu,ID,81.55,Clouds,-9.6567,120.2641,Pondok Wisata Elim
400,Trairi,BR,77.65,Clouds,-3.2778,-39.2689,janelas do mar
404,Santa Isabel Do Rio Negro,BR,75.72,Clouds,-0.4139,-65.0192,Hotel GSA
408,Lamu,KE,73.62,Clouds,-2.2717,40.902,Lamu House
414,Biak,ID,79.99,Clouds,-0.9131,122.8766,Penginapan Kim
417,Praia,CV,79.34,Clouds,14.9215,-23.5087,LT Aparthotel
421,Abnub,EG,77.22,Clear,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
422,Cortez,US,71.04,Clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
423,Dhidhdhoo,MV,80.8,Clouds,6.8833,73.1,Dhidhoo beach
425,Bocanda,CI,71.83,Clouds,7.0626,-4.4995,Résidence Hôtel
427,Kota Kinabalu,MY,75.18,Clouds,5.9749,116.0724,Gaya Centre Hotel
428,Barcelos,PT,74.84,Clouds,41.5388,-8.6151,Hotel Do Terço
430,Cloquet,US,78.39,Clear,46.7216,-92.4594,Super 8 by Wyndham Cloquet
432,Petatlan,MX,82.2,Clouds,17.5167,-101.2667,Hotel California Petatlán
434,Winslow,US,71.78,Clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
