City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Vestmannaeyjar,IS,2022-09-16 01:38:39,63.4427,-20.2734,49.39,81,43,4.59
135,Dafeng,CN,2022-09-16 01:38:39,23.4517,108.5881,85.66,65,7,3.98
136,Dikson,RU,2022-09-16 01:38:39,73.5069,80.5464,36.97,70,100,16.89
137,Komsomolskiy,UZ,2022-09-16 01:38:39,40.4272,71.7189,66.92,32,2,6.91
138,Alexander City,US,2022-09-16 01:34:04,32.944,-85.9539,73.49,94,0,0.0
139,Sao Geraldo Do Araguaia,BR,2022-09-16 01:39:40,-6.4006,-48.555,86.67,31,100,3.76
140,Clyde River,CA,2022-09-16 01:39:40,70.4692,-68.5914,35.83,100,100,4.61
141,Acoyapa,NI,2022-09-16 01:39:40,11.9703,-85.1711,76.06,93,98,5.73
142,Abay,KZ,2022-09-16 01:39:41,49.6311,72.8539,25.18,54,42,11.56
143,Cockburn Town,TC,2022-09-16 01:39:41,21.4612,-71.1419,84.11,77,37,20.07
144,Shimoda,JP,2022-09-16 01:39:41,34.6667,138.95,79.11,66,73,13.8
145,San Cristobal,VE,2022-09-16 01:39:41,7.7669,-72.225,77.18,87,43,1.7
146,Burnie,AU,2022-09-16 01:39:42,-41.0667,145.9167,58.95,68,33,5.37
147,Airai,TL,2022-09-16 01:39:42,-8.9266,125.4092,77.36,32,100,3.31
148,Batagay,RU,2022-09-16 01:39:42,67.6333,134.6333,37.4,83,98,2.98
149,Isangel,VU,2022-09-16 01:39:43,-19.55,169.2667,76.77,67,76,13.06
150,Piranshahr,IR,2022-09-16 01:39:43,36.701,45.1413,58.5,49,0,1.41
151,Arraial Do Cabo,BR,2022-09-16 01:39:43,-22.9661,-42.0278,66.31,90,100,11.14
152,Lucapa,AO,2022-09-16 01:39:43,-8.4192,20.7447,68.94,67,96,2.71
153,Batangafo,CF,2022-09-16 01:39:44,7.3008,18.2833,70.11,98,100,0.56
154,Port Elizabeth,ZA,2022-09-16 01:39:44,-33.918,25.5701,61.32,99,100,3.44
155,Kongolo,CD,2022-09-16 01:39:44,-5.3833,27.0,73.45,82,100,2.55
156,Lorengau,PG,2022-09-16 01:39:45,-2.0226,147.2712,84.81,63,65,11.9
157,Arman,RU,2022-09-16 01:39:45,59.7,150.1667,59.02,47,100,5.99
158,Teya,RU,2022-09-16 01:39:45,60.3778,92.6267,44.64,85,100,3.51
159,San Carlos De Bariloche,AR,2022-09-16 01:36:41,-41.1456,-71.3082,43.02,91,75,6.91
160,Gigmoto,PH,2022-09-16 01:39:45,13.7796,124.39,85.84,68,100,8.93
161,Abha,SA,2022-09-16 01:39:46,18.2164,42.5053,62.85,45,0,0.0
162,Ipora,BR,2022-09-16 01:39:46,-16.4419,-51.1178,75.74,52,69,8.63
163,Mahanoro,MG,2022-09-16 01:39:46,-19.9,48.8,63.43,92,27,4.41
164,Sooke,CA,2022-09-16 01:38:35,48.3746,-123.7276,66.31,78,11,29.93
165,Cabedelo,BR,2022-09-16 01:39:47,-6.9811,-34.8339,74.07,80,15,11.21
166,Taoudenni,ML,2022-09-16 01:39:47,22.6783,-3.9836,92.39,16,0,8.72
167,Pacific Grove,US,2022-09-16 01:39:47,36.6177,-121.9166,73.69,83,40,9.22
168,Aktash,RU,2022-09-16 01:39:47,50.3,87.7333,26.22,80,100,2.26
169,Guinticgan,PH,2022-09-16 01:39:48,11.5641,123.1236,80.06,82,100,12.19
170,Lodja,CD,2022-09-16 01:39:48,-3.4833,23.4333,67.6,98,55,0.43
171,Severo-Kurilsk,RU,2022-09-16 01:38:58,50.6789,156.125,52.83,78,28,14.12
172,Padang,ID,2022-09-16 01:39:48,-0.9492,100.3543,80.65,81,100,0.94
173,Constitucion,CL,2022-09-16 01:39:49,-35.3333,-72.4167,52.95,91,100,0.51
174,Doha,QA,2022-09-16 01:38:30,25.2867,51.5333,91.38,62,0,11.5
175,Fuyang,CN,2022-09-16 01:39:49,32.9,115.8167,81.34,46,0,9.06
176,Brae,GB,2022-09-16 01:39:49,60.3964,-1.353,49.33,67,100,28.83
177,Aswan,EG,2022-09-16 01:39:49,24.0934,32.907,79.9,29,0,8.05
178,Calama,CL,2022-09-16 01:39:50,-22.4667,-68.9333,48.69,10,0,9.22
179,Faanui,PF,2022-09-16 01:39:50,-16.4833,-151.75,77.83,75,25,23.62
180,Harbour Breton,CA,2022-09-16 01:39:50,47.4833,-55.7983,57.06,82,34,15.41
